DateTime,Year,DayOfWeek,Neighborhood
10/26/2023 15:18,2023,Thursday,Western Addition
5/4/2023 19:10,2023,Thursday,Western Addition
5/4/2023 19:14,2023,Thursday,Western Addition
5/23/2023 1:06,2023,Tuesday,Marina
5/23/2023 1:06,2023,Tuesday,Marina
9/20/2023 13:28,2023,Wednesday,Mission
9/20/2023 13:28,2023,Wednesday,Mission
6/5/2023 19:05,2023,Monday,Hayes Valley
6/5/2023 19:08,2023,Monday,Hayes Valley
5/23/2023 1:05,2023,Tuesday,Marina
8/11/2023 13:20,2023,Friday,Bayview Hunters Point
7/20/2023 10:10,2023,Thursday,Bayview Hunters Point
7/21/2023 21:00,2023,Friday,Potrero Hill
7/8/2023 10:55,2023,Saturday,South of Market
10/26/2023 15:18,2023,Thursday,Western Addition
10/28/2023 11:40,2023,Saturday,Nob Hill
10/28/2023 10:53,2023,Saturday,Nob Hill
10/30/2023 18:50,2023,Monday,Tenderloin
10/26/2023 15:18,2023,Thursday,Western Addition
11/3/2023 12:16,2023,Friday,Tenderloin
11/5/2023,2023,Wednesday,Lakeshore
10/26/2023 15:18,2023,Thursday,Western Addition
11/8/2023 23:00,2023,Wednesday,Tenderloin
11/1/2023 9:45,2023,Wednesday,Tenderloin
11/27/2023 0:20,2023,Monday,Western Addition
1/30/2023 8:45,2023,Monday,South of Market
2/10/2023 16:30,2023,Friday,Bayview Hunters Point
1/22/2023 2:12,2023,Sunday,Mission
1/30/2023 8:45,2023,Monday,South of Market
1/22/2023 6:30,2023,Sunday,Mission
1/30/2023 14:30,2023,Monday,Bayview Hunters Point
2/10/2023 23:55,2023,Friday,Hayes Valley
1/23/2023 15:28,2023,Monday,Bayview Hunters Point
2/11/2023 17:30,2023,Saturday,Sunset/Parkside
1/22/2023 2:12,2023,Sunday,Mission
2/13/2023 10:00,2023,Monday,South of Market
5/7/2022 6:45,2022,Saturday,Tenderloin
7/1/2022 10:10,2022,Friday,Golden Gate Park
1/5/2022 22:36,2022,Wednesday,Mission Bay
6/21/2022 4:36,2022,Tuesday,Mission
5/15/2022 1:36,2022,Sunday,Tenderloin
12/28/2022 4:32,2022,Wednesday,Lone Mountain/USF
5/15/2022 8:00,2022,Sunday,Bayview Hunters Point
5/11/2022 9:52,2022,Wednesday,Marina
4/23/2022 23:00,2022,Saturday,Japantown
12/28/2022 4:32,2022,Wednesday,Lone Mountain/USF
5/27/2022 14:04,2022,Friday,Bayview Hunters Point
5/27/2022 10:00,2022,Friday,Sunset/Parkside
12/28/2022 4:32,2022,Wednesday,Lone Mountain/USF
12/30/2022 16:41,2022,Friday,Tenderloin
8/3/2022 15:30,2022,Wednesday,Nob Hill
9/22/2022 6:30,2022,Thursday,Outer Mission
9/19/2022 2:51,2022,Monday,Western Addition
10/24/2022 16:34,2022,Monday,Lakeshore
10/24/2022 10:50,2022,Monday,Sunset/Parkside
10/7/2022 11:55,2022,Friday,Financial District/South Beach
9/20/2022 12:00,2022,Tuesday,Tenderloin
9/1/2022 16:30,2022,Thursday,Tenderloin
9/20/2022 13:00,2022,Tuesday,South of Market
11/1/2022 6:29,2022,Tuesday,Visitacion Valley
10/18/2022 0:16,2022,Tuesday,Tenderloin
11/1/2022 15:30,2022,Tuesday,Lakeshore
10/3/2022 9:10,2022,Monday,South of Market
12/16/2021 8:00,2021,Thursday,South of Market
8/13/2021 22:14,2021,Friday,Excelsior
9/12/2021 20:00,2021,Sunday,Marina
9/28/2021 18:37,2021,Tuesday,Mission
11/24/2021 12:09,2021,Wednesday,Bayview Hunters Point
10/20/2021 21:53,2021,Wednesday,Bayview Hunters Point
3/25/2021 15:15,2021,Thursday,Excelsior
2/4/2021 7:56,2021,Thursday,Lakeshore
2/4/2021 7:56,2021,Thursday,Lakeshore
1/12/2021 9:30,2021,Tuesday,South of Market
10/4/2021 23:43,2021,Monday,Marina
8/13/2021 22:16,2021,Friday,Excelsior
5/21/2021 12:00,2021,Friday,Tenderloin
10/7/2021 10:12,2021,Thursday,Tenderloin
2/4/2020 9:00,2020,Tuesday,South of Market
12/1/2020 13:20,2020,Tuesday,Outer Richmond
12/1/2020 19:23,2020,Tuesday,Mission
5/29/2020 12:15,2020,Friday,Mission
2/21/2020 8:27,2020,Friday,Financial District/South Beach
12/31/2020 15:59,2020,Thursday,Financial District/South Beach
12/31/2020 15:59,2020,Thursday,Financial District/South Beach
6/1/2020 13:30,2020,Monday,South of Market
9/1/2020 16:23,2020,Tuesday,Russian Hill
9/24/2020 14:34,2020,Thursday,Visitacion Valley
3/1/2020 7:27,2020,Sunday,Tenderloin
7/19/2020 11:59,2020,Sunday,Bernal Heights
